Days to Ship Actual,Sales Forecast,Ship Status,Days to Ship Scheduled,Sales per Customer,Profit Ratio,Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Product Name,Profit,Quantity,Region,Profit per Order,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
0,$249,Shipped On Time,0,$166.44,48.00%,Office Supplies,San Diego,United States,Toby Carlisle,0.00%,1,03-12-2017,CA-2017-136875,92024,Xerox 1888,$80,3,West,$79.89,$166,Consumer,03-12-2017,Same Day,California,Paper
5,$13,Shipped Early,6,$8.76,8.80%,Office Supplies,Asheville,United States,Doug Bickford,20.00%,1,27-11-2017,CA-2017-132185,28806,Pencil and Crayon Sharpener,$1,5,South,$0.77,$9,Consumer,02-12-2017,Standard Class,North Carolina,Art
5,$65,Shipped Early,6,$43.58,10.00%,Office Supplies,Asheville,United States,Doug Bickford,20.00%,1,27-11-2017,CA-2017-132185,28806,Belkin 5 Outlet SurgeMaster Power Centers,$4,1,South,$4.36,$44,Consumer,02-12-2017,Standard Class,North Carolina,Appliances
0,$17,Shipped On Time,0,$11.09,-73.30%,Office Supplies,Pueblo,United States,Stewart Visinsky,70.00%,1,21-06-2014,US-2014-160780,81001,"Wilson Jones 1"" Hanging DublLock Ring Binders",($8),7,West,$-8.13,$11,Consumer,21-06-2014,Same Day,Colorado,Binders
0,$38,Shipped On Time,0,$25.16,-66.70%,Office Supplies,Pueblo,United States,Stewart Visinsky,70.00%,1,21-06-2014,US-2014-160780,81001,"Avery Trapezoid Extra Heavy Duty 4"" Binders",($17),2,West,$-16.78,$25,Consumer,21-06-2014,Same Day,Colorado,Binders
6,$22,Shipped On Time,6,$14.40,49.00%,Office Supplies,Jackson,United States,Mick Hernandez,0.00%,1,21-01-2017,CA-2017-127026,49201,Avery Durable Binders,$7,5,Central,$7.06,$14,Home Office,27-01-2017,Standard Class,Michigan,Binders
6,$928,Shipped On Time,6,$619.95,18.00%,Technology,Jackson,United States,Mick Hernandez,0.00%,1,21-01-2017,CA-2017-127026,49201,Logitech G19 Programmable Gaming Keyboard,$112,5,Central,$111.59,$620,Home Office,27-01-2017,Standard Class,Michigan,Accessories
6,$134,Shipped On Time,6,$89.52,47.00%,Office Supplies,Jackson,United States,Mick Hernandez,0.00%,1,21-01-2017,CA-2017-127026,49201,"Avery Flip-Chart Easel Binder, Black",$42,4,Central,$42.07,$90,Home Office,27-01-2017,Standard Class,Michigan,Binders
6,$526,Shipped On Time,6,$350.97,43.30%,Technology,Jackson,United States,Mick Hernandez,10.00%,1,21-01-2017,CA-2017-127026,49201,I.R.I.S IRISCard Anywhere 5 Card Scanner,$152,3,Central,$152.09,$351,Home Office,27-01-2017,Standard Class,Michigan,Machines
6,$247,Shipped On Time,6,$164.99,30.00%,Technology,Jackson,United States,Mick Hernandez,0.00%,1,21-01-2017,CA-2017-127026,49201,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",$49,1,Central,$49.50,$165,Home Office,27-01-2017,Standard Class,Michigan,Phones
7,$468,Shipped Late,6,$312.55,32.50%,Office Supplies,Los Angeles,United States,Carol Triggs,20.00%,1,29-06-2017,CA-2017-137085,90004,Satellite Sectional Post Binders,$102,9,West,$101.58,$313,Consumer,06-07-2017,Standard Class,California,Binders
5,$144,Shipped Early,6,$95.95,31.30%,Office Supplies,Thomasville,United States,Karl Braun,20.00%,1,06-09-2016,CA-2016-133123,27360,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",$30,3,South,$29.98,$96,Consumer,11-09-2016,Standard Class,North Carolina,Envelopes
5,$5,Shipped Early,6,$3.20,-76.70%,Office Supplies,Thomasville,United States,Karl Braun,70.00%,1,06-09-2016,CA-2016-133123,27360,Pressboard Data Binders by Wilson Jones,($2),2,South,$-2.46,$3,Consumer,11-09-2016,Standard Class,North Carolina,Binders
1,$6,Shipped On Time,1,$3.98,-165.00%,Office Supplies,Peoria,United States,Ralph Arnett,80.00%,1,04-08-2016,US-2016-128195,61604,Ibico Presentation Index for Binding Systems,($7),5,Central,$-6.57,$4,Consumer,05-08-2016,First Class,Illinois,Binders
2,$24,Shipped Late,1,$15.70,45.00%,Office Supplies,Los Angeles,United States,Yoseph Carroll,0.00%,1,12-11-2015,CA-2015-153220,90032,"Adams ""While You Were Out"" Message Pads",$7,5,West,$7.06,$16,Corporate,14-11-2015,First Class,California,Paper
2,$8,Shipped Late,1,$5.25,31.30%,Office Supplies,Chicago,United States,Russell Applegate,20.00%,1,30-06-2014,CA-2014-123064,60653,BIC Brite Liner Grip Highlighters,$2,4,Central,$1.64,$5,Consumer,02-07-2014,First Class,Illinois,Art
4,$8,Shipped Early,6,$5.35,-83.30%,Office Supplies,Philadelphia,United States,Charles McCrossin,70.00%,1,04-12-2017,CA-2017-156412,19134,Storex Dura Pro Binders,($4),3,East,$-4.46,$5,Consumer,08-12-2017,Standard Class,Pennsylvania,Binders
5,$23,Shipped Early,6,$15.48,36.30%,Office Supplies,Englewood,United States,Chad Sievert,20.00%,1,28-08-2016,US-2016-144211,80112,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",$6,3,West,$5.61,$15,Consumer,02-09-2016,Standard Class,Colorado,Paper
5,$163,Shipped Early,6,$108.58,7.50%,Technology,Englewood,United States,Chad Sievert,20.00%,1,28-08-2016,US-2016-144211,80112,AT&T 17929 Lendline Telephone,$8,3,West,$8.14,$109,Consumer,02-09-2016,Standard Class,Colorado,Phones
6,$165,Shipped On Time,6,$109.90,34.00%,Furniture,Seattle,United States,Anthony Johnson,0.00%,1,22-01-2016,CA-2016-138079,98115,"Contract Clock, 14"", Brown",$37,5,West,$37.37,$110,Corporate,28-01-2016,Standard Class,Washington,Furnishings
5,$23,Shipped Early,6,$15.38,26.30%,Furniture,Hialeah,United States,Dan Lawera,20.00%,1,15-10-2014,CA-2014-143182,33012,"Executive Impressions 13"" Clairmont Wall Clock",$4,1,South,$4.04,$15,Consumer,20-10-2014,Standard Class,Florida,Furnishings
2,$45,Shipped Late,1,$30.35,35.00%,Office Supplies,Lancaster,United States,Bobby Elias,20.00%,1,07-02-2016,CA-2016-161662,43130,Xerox 1912,$11,2,East,$10.62,$30,Consumer,09-02-2016,First Class,Ohio,Paper
5,"$1,230",Shipped Early,6,$821.30,-2.00%,Technology,Jacksonville,United States,Sean Miller,50.00%,1,18-03-2014,CA-2014-145317,32216,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,($16),4,South,$-16.43,$821,Home Office,23-03-2014,Standard Class,Florida,Machines
5,"$33,903",Shipped Early,6,"$22,638.48",-8.00%,Technology,Jacksonville,United States,Sean Miller,50.00%,1,18-03-2014,CA-2014-145317,32216,Cisco TelePresence System EX90 Videoconferencing Unit,"($1,811)",6,South,"$-1,811.08","$22,638",Home Office,23-03-2014,Standard Class,Florida,Machines
5,$32,Shipped Early,6,$21.38,35.00%,Office Supplies,Jacksonville,United States,Sean Miller,20.00%,1,18-03-2014,CA-2014-145317,32216,Xerox 195,$7,4,South,$7.48,$21,Home Office,23-03-2014,Standard Class,Florida,Paper
5,$12,Shipped Early,6,$8.02,12.50%,Office Supplies,Jacksonville,United States,Sean Miller,20.00%,1,18-03-2014,CA-2014-145317,32216,Avery Fluorescent Highlighter Four-Color Set,$1,3,South,$1.00,$8,Home Office,23-03-2014,Standard Class,Florida,Art
5,$46,Shipped Early,6,$30.77,26.30%,Furniture,Jacksonville,United States,Sean Miller,20.00%,1,18-03-2014,CA-2014-145317,32216,"Executive Impressions 13"" Clairmont Wall Clock",$8,2,South,$8.08,$31,Home Office,23-03-2014,Standard Class,Florida,Furnishings
5,$28,Shipped Early,6,$18.94,31.30%,Office Supplies,Jacksonville,United States,Sean Miller,20.00%,1,18-03-2014,CA-2014-145317,32216,Staples,$6,3,South,$5.92,$19,Home Office,23-03-2014,Standard Class,Florida,Fasteners
5,$183,Shipped Early,6,$122.35,12.50%,Furniture,Jacksonville,United States,Sean Miller,20.00%,1,18-03-2014,CA-2014-145317,32216,"Dana Fluorescent Magnifying Lamp, White, 36""",$15,3,South,$15.29,$122,Home Office,23-03-2014,Standard Class,Florida,Furnishings
6,$174,Shipped On Time,6,$116.28,49.00%,Office Supplies,Baltimore,United States,Resi Pölking,0.00%,1,24-05-2014,CA-2014-143413,21215,Xerox 1944,$57,3,East,$56.98,$116,Consumer,30-05-2014,Standard Class,Maryland,Paper
2,$199,Shipped Early,3,$132.60,13.00%,Technology,New York City,United States,Joy Daniels,0.00%,1,11-07-2017,CA-2017-156818,10009,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,$17,6,East,$17.24,$133,Consumer,13-07-2017,Second Class,New York,Accessories
5,$25,Shipped Early,6,$16.68,26.00%,Office Supplies,Carlsbad,United States,Alejandro Ballentine,0.00%,1,16-06-2017,CA-2017-155873,88220,Acme Elite Stainless Steel Scissors,$4,2,West,$4.34,$17,Home Office,21-06-2017,Standard Class,New Mexico,Supplies
5,$29,Shipped Early,6,$19.44,48.00%,Office Supplies,Carlsbad,United States,Alejandro Ballentine,0.00%,1,16-06-2017,CA-2017-155873,88220,Xerox 215,$9,3,West,$9.33,$19,Home Office,21-06-2017,Standard Class,New Mexico,Paper
5,$288,Shipped Early,6,$192.16,48.00%,Office Supplies,Carlsbad,United States,Alejandro Ballentine,0.00%,1,16-06-2017,CA-2017-155873,88220,Xerox 1885,$92,4,West,$92.24,$192,Home Office,21-06-2017,Standard Class,New Mexico,Paper
7,$340,Shipped Late,6,$227.36,36.00%,Furniture,Los Angeles,United States,Charles Crestani,0.00%,1,30-01-2015,CA-2015-121797,90049,"Computer Room Manger, 14""",$82,7,West,$81.85,$227,Consumer,06-02-2015,Standard Class,California,Furnishings
7,"$2,875",Shipped Late,6,"$1,919.98",11.30%,Technology,Los Angeles,United States,Charles Crestani,20.00%,1,30-01-2015,CA-2015-121797,90049,Bady BDG101FRU Card Printer,$216,3,West,$216.00,"$1,920",Consumer,06-02-2015,Standard Class,California,Machines
4,$19,Shipped Early,6,$12.83,-70.00%,Office Supplies,Jacksonville,United States,Gary Hwang,70.00%,1,11-12-2015,US-2015-120572,32216,Acco D-Ring Binder w/DublLock,($9),2,South,$-8.98,$13,Consumer,15-12-2015,Standard Class,Florida,Binders
2,$69,Shipped Late,1,$45.89,20.00%,Furniture,Lakewood,United States,Cathy Prescott,20.00%,1,09-10-2017,CA-2017-132430,44107,Nu-Dell Leatherette Frames,$9,4,East,$9.18,$46,Corporate,11-10-2017,First Class,Ohio,Furnishings
3,$90,Shipped On Time,3,$60.12,37.00%,Office Supplies,Troy,United States,Gary McGarr,0.00%,1,29-07-2017,CA-2017-146031,12180,Sanford Liquid Accent Highlighters,$22,9,East,$22.24,$60,Consumer,01-08-2017,Second Class,New York,Art
4,$453,Shipped Early,6,$302.38,12.50%,Technology,Wilmington,United States,Lena Creighton,20.00%,1,25-04-2014,CA-2014-110100,28403,AT&T CL2909,$38,3,South,$37.80,$302,Consumer,29-04-2014,Standard Class,North Carolina,Phones
5,$21,Shipped Early,6,$13.90,40.00%,Office Supplies,Seattle,United States,Beth Thompson,0.00%,1,01-12-2015,CA-2015-103723,98105,Prang Drawing Pencil Set,$6,5,West,$5.56,$14,Home Office,06-12-2015,Standard Class,Washington,Art
4,$195,Shipped Early,6,$129.98,48.00%,Technology,New York City,United States,Cathy Prescott,0.00%,1,04-12-2014,CA-2014-127187,10024,Plantronics Voyager Pro HD - Bluetooth Headset,$62,2,East,$62.39,$130,Corporate,08-12-2014,Standard Class,New York,Phones
6,$108,Shipped On Time,6,$71.98,21.00%,Technology,Columbus,United States,Steve Carroll,0.00%,1,26-08-2017,CA-2017-128475,31907,Sony 64GB Class 10 Micro SDHC R40 Memory Card,$15,2,South,$15.12,$72,Home Office,01-09-2017,Standard Class,Georgia,Accessories
6,$566,Shipped On Time,6,$377.97,29.00%,Technology,New York City,United States,Dennis Kane,0.00%,1,07-09-2014,CA-2014-100006,10024,AT&T EL51110 DECT,$110,3,East,$109.61,$378,Consumer,13-09-2014,Standard Class,New York,Phones
6,$186,Shipped On Time,6,$124.36,27.00%,Office Supplies,Costa Mesa,United States,Sanjit Engle,0.00%,1,21-12-2017,CA-2017-144827,92627,"Fellowes Mobile File Cart, Black",$34,2,West,$33.58,$124,Consumer,27-12-2017,Standard Class,California,Storage
2,$36,Shipped Early,3,$23.98,-60.00%,Furniture,Houston,United States,Luke Foster,60.00%,1,06-12-2014,CA-2014-110030,77095,12-1/2 Diameter Round Wall Clock,($14),3,Central,$-14.39,$24,Consumer,08-12-2014,Second Class,Texas,Furnishings
4,$13,Shipped Late,3,$8.38,32.50%,Office Supplies,Cary,United States,Odella Nelson,20.00%,1,04-11-2014,CA-2014-121286,27511,OIC Bulk Pack Metal Binder Clips,$3,3,South,$2.72,$8,Corporate,08-11-2014,Second Class,North Carolina,Fasteners
4,$87,Shipped Late,3,$58.24,8.80%,Office Supplies,Cary,United States,Odella Nelson,20.00%,1,04-11-2014,CA-2014-121286,27511,Acco 6 Outlet Guardian Premium Surge Suppressor,$5,5,South,$5.10,$58,Corporate,08-11-2014,Second Class,North Carolina,Appliances
5,$122,Shipped Late,3,$81.20,15.00%,Office Supplies,Alexandria,United States,Tom Boeckenhauer,0.00%,1,14-04-2016,CA-2016-164735,22304,Acco Perma 4000 Stacking Storage Drawers,$12,5,South,$12.18,$81,Consumer,19-04-2016,Second Class,Virginia,Storage
4,$22,Shipped Early,6,$14.45,47.00%,Office Supplies,Vallejo,United States,David Flashing,0.00%,1,04-10-2014,CA-2014-153479,94591,Avery 512,$7,5,West,$6.79,$14,Consumer,08-10-2014,Standard Class,California,Labels
4,$143,Shipped Early,6,$95.65,32.50%,Office Supplies,Vallejo,United States,David Flashing,20.00%,1,04-10-2014,CA-2014-153479,94591,GBC Recycled Regency Composition Covers,$31,2,West,$31.09,$96,Consumer,08-10-2014,Standard Class,California,Binders
6,$539,Shipped On Time,6,$359.97,-20.00%,Technology,Philadelphia,United States,Emily Phan,40.00%,1,07-11-2017,CA-2017-149888,19120,Jabra Supreme Plus Driver Edition Headset,($72),5,East,$-71.99,$360,Consumer,13-11-2017,Standard Class,Pennsylvania,Phones
6,$525,Shipped On Time,6,$350.35,-40.00%,Furniture,Philadelphia,United States,Emily Phan,40.00%,1,07-11-2017,CA-2017-149888,19120,Bevis Rectangular Conference Tables,($140),4,East,$-140.14,$350,Consumer,13-11-2017,Standard Class,Pennsylvania,Tables
2,$2,Shipped Late,1,$1.64,-80.00%,Office Supplies,Toledo,United States,Sally Knutson,70.00%,1,22-12-2017,CA-2017-119193,43615,Angle-D Ring Binders,($1),1,East,$-1.31,$2,Consumer,24-12-2017,First Class,Ohio,Binders
2,$943,Shipped Late,1,$629.96,15.00%,Technology,Toledo,United States,Sally Knutson,40.00%,1,22-12-2017,CA-2017-119193,43615,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,$94,7,East,$94.49,$630,Consumer,24-12-2017,First Class,Ohio,Phones
6,$10,Shipped On Time,6,$6.63,27.00%,Office Supplies,Seattle,United States,Fred Harton,0.00%,1,13-02-2017,CA-2017-104801,98105,Newell 311,$2,3,West,$1.79,$7,Consumer,19-02-2017,Standard Class,Washington,Art
6,"$1,198",Shipped On Time,6,$799.96,43.00%,Technology,Seattle,United States,Fred Harton,0.00%,1,13-02-2017,CA-2017-104801,98105,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,$344,4,West,$343.98,$800,Consumer,19-02-2017,Standard Class,Washington,Accessories
6,$161,Shipped On Time,6,$107.53,20.00%,Furniture,Seattle,United States,Fred Harton,0.00%,1,13-02-2017,CA-2017-104801,98105,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",$22,1,West,$21.51,$108,Consumer,19-02-2017,Standard Class,Washington,Furnishings
4,$111,Shipped Early,6,$73.98,27.00%,Technology,Plainfield,United States,Eric Hoffmann,0.00%,1,02-07-2014,CA-2014-107594,7060,"Logitech B530 USB Headset - headset - Full size, Binaural",$20,2,East,$19.97,$74,Consumer,06-07-2014,Standard Class,New Jersey,Phones
4,$8,Shipped Early,6,$5.58,39.00%,Office Supplies,Plainfield,United States,Eric Hoffmann,0.00%,1,02-07-2014,CA-2014-107594,7060,DIXON Ticonderoga Erasable Checking Pencils,$2,1,East,$2.18,$6,Consumer,06-07-2014,Standard Class,New Jersey,Art
2,$74,Shipped Early,3,$49.12,47.00%,Office Supplies,Las Cruces,United States,Joe Elijah,0.00%,1,21-02-2015,CA-2015-129770,88001,Easy-staple paper,$23,4,West,$23.09,$49,Consumer,23-02-2015,Second Class,New Mexico,Paper
6,$566,Shipped On Time,6,$377.97,25.00%,Technology,Newark,United States,Ken Lonsdale,0.00%,1,13-11-2015,CA-2015-115798,19711,BlackBerry Q10,$94,3,East,$94.49,$378,Consumer,19-11-2015,Standard Class,Delaware,Phones
6,$63,Shipped On Time,6,$42.28,47.00%,Office Supplies,Newark,United States,Ken Lonsdale,0.00%,1,13-11-2015,CA-2015-115798,19711,"Adams Telephone Message Books, 5 1/4” x 11”",$20,7,East,$19.87,$42,Consumer,19-11-2015,Standard Class,Delaware,Paper
6,$449,Shipped On Time,6,$299.97,19.00%,Furniture,Newark,United States,Ken Lonsdale,0.00%,1,13-11-2015,CA-2015-115798,19711,Bestar Classic Bookcase,$57,3,East,$56.99,$300,Consumer,19-11-2015,Standard Class,Delaware,Bookcases
6,$135,Shipped On Time,6,$89.98,48.00%,Technology,Newark,United States,Ken Lonsdale,0.00%,1,13-11-2015,CA-2015-115798,19711,Innergie mMini Combo Duo USB Travel Charging Kit,$43,2,East,$43.19,$90,Consumer,19-11-2015,Standard Class,Delaware,Phones
2,$715,Shipped Late,1,$477.24,2.00%,Office Supplies,Hoover,United States,Edward Becker,0.00%,1,16-04-2017,CA-2017-122707,35244,Compact Automatic Electric Letter Opener,$10,4,South,$9.54,$477,Corporate,18-04-2017,First Class,Alabama,Supplies
2,$39,Shipped Late,1,$25.98,6.00%,Technology,Hoover,United States,Edward Becker,0.00%,1,16-04-2017,CA-2017-122707,35244,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,$2,2,South,$1.56,$26,Corporate,18-04-2017,First Class,Alabama,Accessories
2,$70,Shipped Early,3,$46.72,37.50%,Office Supplies,Newark,United States,Bruce Degenhardt,20.00%,1,25-02-2016,CA-2016-165015,43055,Staple envelope,$18,5,East,$17.52,$47,Consumer,27-02-2016,Second Class,Ohio,Envelopes
4,$53,Shipped Early,6,$35.34,38.00%,Furniture,San Diego,United States,MaryBeth Skach,0.00%,1,04-11-2014,CA-2014-149244,92037,"Executive Impressions 12"" Wall Clock",$13,2,West,$13.43,$35,Consumer,08-11-2014,Standard Class,California,Furnishings
5,$386,Shipped Late,3,$257.64,39.00%,Furniture,San Francisco,United States,Stewart Carmichael,0.00%,1,20-06-2015,CA-2015-140144,94122,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",$100,6,West,$100.48,$258,Corporate,25-06-2015,Second Class,California,Furnishings
5,$189,Shipped Late,3,$125.98,37.50%,Technology,San Francisco,United States,Stewart Carmichael,20.00%,1,20-06-2015,CA-2015-140144,94122,netTALK DUO VoIP Telephone Service,$47,3,West,$47.24,$126,Corporate,25-06-2015,Second Class,California,Phones
4,$120,Shipped Late,3,$79.99,27.50%,Technology,Jacksonville,United States,Fred McMath,20.00%,1,07-08-2017,CA-2017-163321,28540,Logitech G700s Rechargeable Gaming Mouse,$22,1,South,$22.00,$80,Consumer,11-08-2017,Second Class,North Carolina,Accessories
5,"$1,048",Shipped Early,6,$700.06,-18.60%,Furniture,Franklin,United States,Kean Thornton,30.00%,1,12-05-2014,CA-2014-155887,2038,"Bevis Traditional Conference Table Top, Plinth Base",($130),3,East,$-130.01,$700,Consumer,17-05-2014,Standard Class,Massachusetts,Tables
4,$41,Shipped Early,6,$27.17,-5.00%,Technology,Frisco,United States,Anne Pryor,20.00%,1,22-11-2015,US-2015-165449,75034,SanDisk Cruzer 8 GB USB Flash Drive,($1),4,Central,$-1.36,$27,Home Office,26-11-2015,Standard Class,Texas,Accessories
4,$12,Shipped Early,6,$8.23,-73.30%,Office Supplies,Tallahassee,United States,Ritsa Hightower,70.00%,1,04-12-2015,CA-2015-110247,32303,SpineVue Locking Slant-D Ring Binders by Cardinal,($6),3,South,$-6.03,$8,Consumer,08-12-2015,Standard Class,Florida,Binders
6,$877,Shipped On Time,6,$585.55,12.50%,Furniture,Seattle,United States,Carlos Soltero,20.00%,1,08-06-2014,US-2014-141257,98115,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",$73,3,West,$73.19,$586,Consumer,14-06-2014,Standard Class,Washington,Chairs
3,$634,Shipped On Time,3,$423.28,26.00%,Office Supplies,Vacaville,United States,Tamara Manning,0.00%,1,08-08-2014,CA-2014-154669,95687,Advantus Rolling Drawer Organizers,$110,11,West,$110.05,$423,Consumer,11-08-2014,Second Class,California,Storage
4,$337,Shipped Early,6,$225.30,10.00%,Furniture,Los Angeles,United States,Herbert Flentye,20.00%,1,26-05-2014,CA-2014-158029,90008,Hon Olson Stacker Stools,$23,2,West,$22.53,$225,Consumer,30-05-2014,Standard Class,California,Chairs
4,$8,Shipped Early,6,$5.56,40.00%,Office Supplies,San Francisco,United States,George Ashbrook,0.00%,1,17-04-2015,CA-2015-155306,94122,Prang Drawing Pencil Set,$2,2,West,$2.22,$6,Consumer,21-04-2015,Standard Class,California,Art
4,$484,Shipped Early,6,$323.37,40.00%,Technology,San Francisco,United States,George Ashbrook,0.00%,1,17-04-2015,CA-2015-155306,94122,Plantronics S12 Corded Telephone Headset System,$129,3,West,$129.35,$323,Consumer,21-04-2015,Standard Class,California,Accessories
4,"$1,174",Shipped Early,6,$783.96,8.80%,Technology,San Francisco,United States,George Ashbrook,20.00%,1,17-04-2015,CA-2015-155306,94122,Plantronics Calisto P620-M USB Wireless Speakerphone System,$69,5,West,$68.60,$784,Consumer,21-04-2015,Standard Class,California,Phones
4,"$2,168",Shipped Early,6,"$1,447.65",29.00%,Office Supplies,San Francisco,United States,George Ashbrook,0.00%,1,17-04-2015,CA-2015-155306,94122,Hoover Upright Vacuum With Dirt Cup,$420,5,West,$419.82,"$1,448",Consumer,21-04-2015,Standard Class,California,Appliances
4,$18,Shipped Early,6,$11.96,49.00%,Office Supplies,San Francisco,United States,George Ashbrook,0.00%,1,17-04-2015,CA-2015-155306,94122,Xerox 1903,$6,2,West,$5.86,$12,Consumer,21-04-2015,Standard Class,California,Paper
2,$359,Shipped Early,3,$239.97,30.00%,Technology,New York City,United States,Erica Smith,0.00%,1,11-06-2016,CA-2016-127775,10035,Razer Kraken PRO Over Ear PC and Music Headset,$72,3,East,$71.99,$240,Consumer,13-06-2016,Second Class,New York,Accessories
4,$115,Shipped Early,6,$76.92,41.00%,Furniture,Columbus,United States,Julie Prescott,0.00%,1,11-03-2016,CA-2016-146171,31907,"Executive Impressions 13"" Clairmont Wall Clock",$32,4,South,$31.54,$77,Home Office,15-03-2016,Standard Class,Georgia,Furnishings
4,$721,Shipped Early,6,$481.32,26.00%,Office Supplies,Columbus,United States,Julie Prescott,0.00%,1,11-03-2016,CA-2016-146171,31907,Iceberg Mobile Mega Data/Printer Cart,$125,4,South,$125.14,$481,Home Office,15-03-2016,Standard Class,Georgia,Storage
3,$72,Shipped Late,1,$48.40,48.00%,Office Supplies,Murray,United States,Dean percer,0.00%,1,26-05-2014,CA-2014-129574,84107,"Wirebound Service Call Books, 5 1/2"" x 4""",$23,5,West,$23.23,$48,Home Office,29-05-2014,First Class,Utah,Paper
2,$1,Shipped Late,1,$0.99,44.00%,Technology,San Francisco,United States,Neil Knudson,0.00%,1,12-10-2017,CA-2017-126536,94110,Maxell 4.7GB DVD-R 5/Pack,$0,1,West,$0.44,$1,Home Office,14-10-2017,First Class,California,Accessories
2,$153,Shipped Late,1,$101.84,36.30%,Office Supplies,San Francisco,United States,Neil Knudson,20.00%,1,12-10-2017,CA-2017-126536,94110,Canvas Sectional Post Binders,$37,5,West,$36.92,$102,Home Office,14-10-2017,First Class,California,Binders
6,$15,Shipped On Time,6,$10.33,-73.30%,Office Supplies,Philadelphia,United States,Paul Lucas,70.00%,1,22-06-2017,CA-2017-165757,19140,GBC Plasticlear Binding Covers,($8),3,East,$-7.58,$10,Home Office,28-06-2017,Standard Class,Pennsylvania,Binders
6,$47,Shipped On Time,6,$31.16,-76.70%,Office Supplies,Philadelphia,United States,Paul Lucas,70.00%,1,22-06-2017,CA-2017-165757,19140,Wilson Jones Century Plastic Molded Ring Binders,($24),5,East,$-23.89,$31,Home Office,28-06-2017,Standard Class,Pennsylvania,Binders
6,$13,Shipped On Time,6,$8.93,7.50%,Office Supplies,Philadelphia,United States,Paul Lucas,20.00%,1,22-06-2017,CA-2017-165757,19140,Plastic Stacking Crates & Casters,$1,2,East,$0.67,$9,Home Office,28-06-2017,Standard Class,Pennsylvania,Storage
3,$51,Shipped Late,1,$34.38,11.30%,Office Supplies,Philadelphia,United States,Robert Waldorf,20.00%,1,15-01-2017,CA-2017-167752,19134,Belkin F9M820V08 8 Outlet Surge,$4,1,East,$3.87,$34,Consumer,18-01-2017,First Class,Pennsylvania,Appliances
3,"$2,882",Shipped Late,1,"$1,924.16",16.30%,Office Supplies,Philadelphia,United States,Robert Waldorf,20.00%,1,15-01-2017,CA-2017-167752,19134,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,$313,8,East,$312.68,"$1,924",Consumer,18-01-2017,First Class,Pennsylvania,Appliances
5,$48,Shipped Early,6,$32.19,-250.00%,Office Supplies,Dallas,United States,Michael Oakman,80.00%,1,02-04-2015,US-2015-122140,75220,APC 7 Outlet Network SurgeArrest Surge Protector,($80),2,Central,$-80.48,$32,Consumer,07-04-2015,Standard Class,Texas,Appliances
5,$75,Shipped Early,6,$50.12,-1.30%,Technology,Dallas,United States,Michael Oakman,20.00%,1,02-04-2015,US-2015-122140,75220,Kingston Digital DataTraveler 16GB USB 2.0,($1),7,Central,$-0.63,$50,Consumer,07-04-2015,Standard Class,Texas,Accessories
5,$72,Shipped Early,6,$47.98,3.80%,Technology,Dallas,United States,Michael Oakman,20.00%,1,02-04-2015,US-2015-122140,75220,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,$2,3,Central,$1.80,$48,Consumer,07-04-2015,Standard Class,Texas,Accessories
7,$82,Shipped Late,6,$54.50,26.00%,Office Supplies,Waukesha,United States,Jennifer Jackson,0.00%,1,03-09-2016,CA-2016-163986,53186,Crate-A-Files,$14,5,Central,$14.17,$55,Consumer,10-09-2016,Standard Class,Wisconsin,Storage
2,$29,Shipped Late,1,$19.10,30.00%,Furniture,Fort Lauderdale,United States,Brian Thompson,20.00%,1,10-12-2017,CA-2017-158967,33311,Staple-based wall hangings,$6,3,South,$5.73,$19,Consumer,12-12-2017,First Class,Florida,Furnishings
4,$74,Shipped Early,6,$49.44,49.00%,Office Supplies,Detroit,United States,Rob Dowd,0.00%,1,22-11-2016,CA-2016-131576,48205,Ibico Standard Transparent Covers,$24,3,Central,$24.23,$49,Consumer,26-11-2016,Standard Class,Michigan,Binders
7,$16,Shipped Late,6,$10.37,35.00%,Office Supplies,Springfield,United States,Max Ludwig,20.00%,1,11-11-2017,CA-2017-143455,45503,Xerox 222,$4,2,East,$3.63,$10,Home Office,18-11-2017,Standard Class,Ohio,Paper
